Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,6519;1,02361;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,6609;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,6679;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,6779;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,6849;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,6949;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,7009;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,7119;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,7189;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,7279;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,7349;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,7449;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,7509;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,7619;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,7679;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,7779;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,7849;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,7949;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,8009;1,01561;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,8119;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,8179;1,02411;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,8279;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,8349;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;-1;33,8449;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,8509;1,02461;-1
BPM1997w;2016-12-06-14-44-03;12;100;y;Trajectory limit;1;33,8619;1,01611;1
BPM1997w;2016-12-06-14-44-03;12;100;y;Reverse rotation;;33,8679;1,01611;1
