Observer;SessionID;Block;Occluder;Color;Event;Value;Time;RelativeLocation;Direction
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;1;42,9025;0,379079;1
EGN1994m;2016-12-08-09-37-43;3;5;y;Trajectory limit;-1;44,1375;1,00461;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Reverse rotation;;44,1425;1,00461;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Percept;-1;44,5035;0,829605;-1
EGN1994m;2016-12-08-09-37-43;3;5;y;Block end;;48,0067;-0,921996;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Block start;;1,48119e+09;-1;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;-1;0,767044;-0,626978;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Trajectory limit;-1;4,02023;1,00762;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Reverse rotation;;4,02523;1,00762;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;1;4,35325;0,849106;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Trajectory limit;1;8,04046;-0,9975;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Reverse rotation;;8,04546;-0,9975;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;-1;8,42348;-0,81399;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;1;10,9086;0,428581;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Trajectory limit;-1;12,0437;1,00411;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Reverse rotation;;12,0487;1,00411;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;-1;12,4437;0,812603;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;1;14,6288;-0,279959;-1
EGN1994m;2016-12-08-09-37-43;4;10;b;Trajectory limit;1;16,0629;-0,994499;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Reverse rotation;;16,0689;-0,994499;1
EGN1994m;2016-12-08-09-37-43;4;10;b;Percept;-1;16,4299;-0,818989;1
