X;Y;Z
0.539452;-0.731516;0.678728
-0.646594;-0.769328;-0.201018
-0.868489;-0.165692;-0.660849
0.578596;-0.905614;0.415068
0.397443;-0.688631;0.724947
0.162034;-0.560175;0.814916
0.651954;-0.657774;0.742158
0.318862;-0.996977;-0.0494324
0.754611;-0.624966;0.757999
-0.671358;-0.727376;-0.293258
0.94617;-0.895944;0.331947
-0.308116;-0.908482;-0.0508233
0.972314;-0.790075;0.528898
0.0882072;-0.548673;0.814045
0.632876;-0.779944;0.614664
0.249852;-0.257941;0.961075
-0.383467;-0.88908;0.0159737
0.332578;-0.573348;0.817649
-0.0389453;-0.160304;0.951532
-0.548082;-0.744606;-0.377293
