Time;Block;Trial;Event;Value
33839;5;9;blink;1225
35698;5;9;percept;Up
36082;5;10;trial start;10
36731;5;10;percept;Down
40090;5;11;trial start;11
40799;5;11;sound;1500
40815;5;11;percept;Up
41383;5;11;blink;1375
43482;5;11;percept;Up
44091;5;12;trial start;12
44473;5;12;percept;Down
45307;5;12;sound;1000
45826;5;12;blink;1075
47807;5;12;percept;Up
48099;5;13;trial start;13
48699;5;13;percept;Down
52100;5;14;trial start;14
53041;5;14;percept;Down
53317;5;14;sound;1000
53950;5;14;blink;1050
55608;5;14;percept;Up
56108;5;15;trial start;15
56583;5;15;percept;Down
56817;5;15;sound;1500
57543;5;15;blink;1400
59708;5;15;percept;Up
60109;5;16;trial start;16
60558;5;16;percept;Down
64117;5;17;trial start;17
64826;5;17;sound;1500
64868;5;17;percept;Down
65522;5;17;blink;1100
68109;5;17;percept;Down
68118;5;18;trial start;18
68834;5;18;sound;1500
69782;5;18;blink;1175
71567;5;18;percept;Up
72118;5;19;trial start;19
72568;5;19;percept;Down
76118;5;20;trial start;20
77336;5;20;sound;1000
77963;5;20;blink;1125
79652;5;20;percept;Up
80127;5;21;trial start;21
80585;5;21;percept;Down
80835;5;21;sound;1500
81561;5;21;blink;1475
83885;5;21;percept;Down
84127;5;22;trial start;22
88136;5;23;trial start;23
88694;5;23;percept;Up
88844;5;23;sound;1500
89671;5;23;blink;1350
91853;5;23;percept;Down
92136;5;24;trial start;24
93353;5;24;sound;1000
94080;5;24;blink;1075
95736;5;24;percept;Up
96036;5;25;trial start;25
21;6;1;trial start;1
1029;6;1;percept;Up
4038;6;2;trial start;2
4571;6;2;percept;Down
5255;6;2;sound;1000
5941;6;2;blink;1050
7796;6;2;percept;Up
8047;6;3;trial start;3
8605;6;3;percept;Down
8755;6;3;sound;1500
9591;6;3;blink;1401
12047;6;4;trial start;4
12163;6;4;percept;Down
16056;6;5;trial start;5
16572;6;5;percept;Up
17264;6;5;sound;1000
17984;6;5;blink;1103
19864;6;5;percept;Down
20056;6;6;trial start;6
21273;6;6;sound;1000
21830;6;6;blink;925
23372;6;6;percept;Down
24065;6;7;trial start;7
24556;6;7;percept;Up
