Time;Block;Trial;Event;Value
69342;5;18;blink;1626
71438;5;18;percept;Down
72096;5;19;trial start;19
72587;5;19;percept;Up
76097;5;20;trial start;20
76513;5;20;percept;Down
76814;5;20;sound;1500
78029;5;20;blink;999
79730;5;20;percept;Down
80106;5;21;trial start;21
80814;5;21;sound;1500
80880;5;21;percept;Up
81659;5;21;blink;1349
83446;5;21;percept;Down
84105;5;22;trial start;22
88106;5;23;trial start;23
88564;5;23;percept;Up
88815;5;23;sound;1500
89464;5;23;blink;1455
91256;5;23;percept;Down
92115;5;24;trial start;24
93339;5;24;sound;1000
94621;5;24;blink;466
95806;5;24;percept;Up
96038;5;25;trial start;25
21;6;1;trial start;1
690;6;1;percept;Down
4032;6;2;trial start;2
4515;6;2;percept;Up
4749;6;2;sound;1500
5394;6;2;blink;1403
7224;6;2;percept;Down
8041;6;3;trial start;3
8474;6;3;percept;Up
8750;6;3;sound;1500
9578;6;3;blink;1301
11266;6;3;percept;Down
12041;6;4;trial start;4
12882;6;4;percept;Up
16050;6;5;trial start;5
16533;6;5;percept;Down
16758;6;5;sound;1500
17585;6;5;blink;1282
19241;6;5;percept;Down
20050;6;6;trial start;6
20666;6;6;percept;Up
21267;6;6;sound;1000
21960;6;6;blink;903
23092;6;6;percept;Down
24059;6;7;trial start;7
24867;6;7;percept;Up
28051;6;8;trial start;8
28192;6;8;percept;Down
28742;6;8;percept;Up
29268;6;8;sound;1000
29792;6;8;blink;1053
31176;6;8;percept;Down
32060;6;9;trial start;9
32717;6;9;percept;Up
33268;6;9;sound;1000
33946;6;9;blink;953
35194;6;9;percept;Down
36060;6;10;trial start;10
37076;6;10;percept;Up
40069;6;11;trial start;11
40685;6;11;percept;Down
41277;6;11;sound;1000
41942;6;11;blink;955
43352;6;11;percept;Up
44069;6;12;trial start;12
44786;6;12;sound;1500
45577;6;12;percept;Up
45520;6;12;blink;1552
47418;6;12;percept;Down
48078;6;13;trial start;13
49127;6;13;percept;Up
50844;6;13;percept;Down
52078;6;14;trial start;14
53077;6;14;percept;Up
53295;6;14;sound;1000
54095;6;14;blink;901
55328;6;14;percept;Down
56087;6;15;trial start;15
56811;6;15;percept;Up
57295;6;15;sound;1000
58013;6;15;blink;954
59429;6;15;percept;Down
60088;6;16;trial start;16
61561;6;16;percept;Up
64096;6;17;trial start;17
64778;6;17;percept;Down
65304;6;17;sound;1000
65998;6;17;blink;852
67328;6;17;percept;Up
68096;6;18;trial start;18
68813;6;18;sound;1500
69422;6;18;blink;1529
71296;6;18;percept;Down
72105;6;19;trial start;19
72879;6;19;percept;Up
76102;6;20;trial start;20
76813;6;20;sound;1500
77480;6;20;blink;1384
79338;6;20;percept;Down
80105;6;21;trial start;21
80814;6;21;sound;1500
80888;6;21;percept;Up
81883;6;21;blink;1177
83339;6;21;percept;Down
84106;6;22;trial start;22
84764;6;22;percept;Up
88115;6;23;trial start;23
88781;6;23;percept;Down
88823;6;23;sound;1500
89461;6;23;blink;1552
91498;6;23;percept;Up
92115;6;24;trial start;24
93332;6;24;sound;1000
93943;6;24;blink;1027
95307;6;24;percept;Down
96039;6;25;trial start;25
21;7;1;trial start;1
582;7;1;percept;Down
4032;7;2;trial start;2
4749;7;2;sound;1500
5372;7;2;blink;1577
